summoner_name,played_with,won_with,played_against,lost_against,date,last_played
frissdiekatz,1.0,1,0,0,9-6-2022 9:26,Zed
free of desire,1.0,1,0,0,11-7-2022 18:4,Bard
flamemoth,1.0,1,0,0,29-5-2022 12:46,Janna
fishcakemaster,1.0,1,0,0,28-2-2023 20:53,Rakan
fio17k,1.0,1,0,0,1-10-2022 21:47,Leblanc
filtz,1.0,1,0,0,22-9-2023 13:16,Ezreal
fili0907,1.0,1,0,0,9-6-2023 20:29,Pyke
ferrons8,1.0,1,0,0,28-6-2023 21:27,Vi
fafs9,1.0,1,1,0,22-3-2023 21:40,Varus
facio,1.0,1,0,0,23-8-2022 16:46,Jhin
everwhat,1.0,1,0,0,15-5-2023 22:9,Singed
etherioussEND,1.0,1,0,0,11-9-2022 15:26,Riven
erwanforce1,1.0,1,0,0,7-2-2023 11:25,Velkoz
erik stinkt,1.0,1,0,0,24-9-2022 23:1,Tristana
erik is erik,1.0,1,0,0,24-9-2022 23:1,Mordekaiser
erdu112,1.0,1,0,0,11-7-2022 18:3,MissFortune
enano,1.0,1,0,0,22-9-2023 13:17,Yone
elsgrenza,1.0,1,0,0,30-7-2022 12:42,Ahri
elo 8,1.0,1,0,0,28-2-2023 20:53,Varus
elfouxX,1.0,1,0,0,25-4-2023 12:5,Zac
eldiosksoy,1.0,1,0,0,17-1-2023 20:1,Sett
elMago619,1.0,1,0,0,11-1-2023 20:35,Teemo
el miGGui,1.0,1,0,0,22-9-2023 13:17,Nilah
eXalt3D1,1.0,1,0,0,2-7-2023 15:18,Nautilus
eRelkiM,1.0,1,0,0,26-1-2023 14:17,Xerath
dunkinn daisy,1.0,1,0,0,18-5-2023 19:11,Annie
dumpieman,1.0,1,0,0,30-1-2023 15:56,Rammus
duka30,1.0,1,0,0,22-5-2023 22:14,Jayce
dragonrage2014,1.0,1,0,0,9-6-2022 9:26,Rell
dovakine101,1.0,1,0,0,11-9-2022 15:25,Lillia
