temp: 16.57C 	 humi: 68.635% 	 co2: 533 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.04Pa 	 gasRes: None Ohm 	 outside temp: 6.62 C
temp: 16.56C 	 humi: 68.632% 	 co2: 533 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.14Pa 	 gasRes: None Ohm 	 outside temp: 6.44 C
temp: 16.55C 	 humi: 68.686% 	 co2: 533 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.23Pa 	 gasRes: None Ohm 	 outside temp: 6.4 C
temp: 16.54C 	 humi: 68.672% 	 co2: 527 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.31Pa 	 gasRes: None Ohm 	 outside temp: 6.37 C
temp: 16.53C 	 humi: 68.626% 	 co2: 523 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.39Pa 	 gasRes: None Ohm 	 outside temp: 6.37 C
temp: 16.51C 	 humi: 68.691% 	 co2: 525 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.49Pa 	 gasRes: None Ohm 	 outside temp: 6.3 C
temp: 16.5C 	 humi: 68.67% 	 co2: 527 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.55Pa 	 gasRes: None Ohm 	 outside temp: 6.3 C
temp: 16.49C 	 humi: 68.727% 	 co2: 530 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.61Pa 	 gasRes: None Ohm 	 outside temp: 6.29 C
temp: 16.47C 	 humi: 68.424% 	 co2: 529 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.75Pa 	 gasRes: None Ohm 	 outside temp: 6.27 C
temp: 16.46C 	 humi: 68.704% 	 co2: 554 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.81Pa 	 gasRes: None Ohm 	 outside temp: 6.23 C
temp: 16.44C 	 humi: 68.9% 	 co2: 565 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.89Pa 	 gasRes: None Ohm 	 outside temp: 6.13 C
temp: 16.43C 	 humi: 68.782% 	 co2: 568 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.93Pa 	 gasRes: None Ohm 	 outside temp: 6.1 C
temp: 16.41C 	 humi: 69.012% 	 co2: 615 	 pm25: -1.0 	 pm100: -1.0 	 press: 1010.99Pa 	 gasRes: None Ohm 	 outside temp: 6.1 C
temp: 16.4C 	 humi: 68.003% 	 co2: 635 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.04Pa 	 gasRes: None Ohm 	 outside temp: 6.1 C
temp: 16.39C 	 humi: 68.933% 	 co2: 647 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.08Pa 	 gasRes: None Ohm 	 outside temp: 6.1 C
temp: 16.37C 	 humi: 69.018% 	 co2: 661 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.14Pa 	 gasRes: None Ohm 	 outside temp: 6.14 C
temp: 16.36C 	 humi: 68.837% 	 co2: 661 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.22Pa 	 gasRes: None Ohm 	 outside temp: 6.1 C
temp: 16.34C 	 humi: 68.868% 	 co2: 663 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.28Pa 	 gasRes: None Ohm 	 outside temp: 6.0 C
temp: 16.32C 	 humi: 69.118% 	 co2: 663 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.36Pa 	 gasRes: None Ohm 	 outside temp: 5.94 C
temp: 16.3C 	 humi: 69.274% 	 co2: 659 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.38Pa 	 gasRes: None Ohm 	 outside temp: 5.91 C
temp: 16.27C 	 humi: 69.145% 	 co2: 649 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.42Pa 	 gasRes: None Ohm 	 outside temp: 5.91 C
temp: 16.25C 	 humi: 69.399% 	 co2: 640 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.46Pa 	 gasRes: None Ohm 	 outside temp: 5.77 C
temp: 16.22C 	 humi: 69.445% 	 co2: 625 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.47Pa 	 gasRes: None Ohm 	 outside temp: 5.77 C
temp: 16.19C 	 humi: 69.477% 	 co2: 629 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.49Pa 	 gasRes: None Ohm 	 outside temp: 5.77 C
temp: 16.17C 	 humi: 69.491% 	 co2: 622 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.53Pa 	 gasRes: None Ohm 	 outside temp: 5.69 C
temp: 16.14C 	 humi: 69.55% 	 co2: 624 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.55Pa 	 gasRes: None Ohm 	 outside temp: 5.65 C
temp: 16.12C 	 humi: 69.558% 	 co2: 620 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.61Pa 	 gasRes: None Ohm 	 outside temp: 5.65 C
temp: 16.1C 	 humi: 69.603% 	 co2: 669 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.65Pa 	 gasRes: None Ohm 	 outside temp: 5.59 C
temp: 16.14C 	 humi: 69.027% 	 co2: 776 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.71Pa 	 gasRes: None Ohm 	 outside temp: 5.6 C
